Month,Year,City,Day,State,State millenials population percentage (25 - 34),State late adult population percentage (55-64),State adult Tertiary Education Rate (25+ years old) ,State unemployment Rate (16+ years old),"State percentage of management, business, science, and arts  workers (16+ years old)","State percentage of natural resources, construction, and maintenance workers (16+ years old)","State percentage of production, transportation, and material moving workers",State percentage of manufacturing workers (16+ years old),"State percentage of agriculture, forestry, fishing and hunting, and mining workers (16+ years old)","State percentage of professional, scientific, and management, and administrative and waste management services workers (16+ years old)","State percentage of finance and insurance, and real estate and rental and leasing workers (16+ years old)",State inflation-adjusted average household income (2019),State household percentage with cash public assistance as income(2019),States poverty rate (percent of population),WhiteTotalPerc,BlackTotalPerc,OtherTotalPerc,lat,lng,population,s_Lat,s_Long,Numbers Of Words,Numbers Of StopWords,Average Word Length,Lexical Diversity,Numbers of Geo Location Mentioned,Numbers of Monetary Keywords Mentioned,Numbers of Peoples' Name Mentioned,Positive Sentiment,Neutral Sentiment,Negative Sentiment,Achievements,"Plans, Vision and Appealing Support",Political Adversaries
Dec,2019 ,Battle Creek,19,Michigan,13.0,14.0,32.2,5.0,37.7,8.1,16.9,18.5,1.2,9.5,5.4,59584.0,2.2,13.0,0.7841,0.1379,0.041,42.2986,-85.2296,76514,44.182205,-84.506836,13593,5919,5.181391712275215,0.2751703703703704,113,10,38,0.303,0.537,0.159,12.345,4.601,0.0
Sep,2020 ,Freeland,10,Michigan,13.0,14.0,32.2,5.0,37.7,8.1,16.9,18.5,1.2,9.5,5.4,59584.0,2.2,13.0,0.7841,0.1379,0.041,43.5198,-84.1124,6898,44.182205,-84.506836,7667,3047,5.249567099567099,0.15723703703703704,131,5,65,0.315,0.53,0.155,2.95,0.764,6.017
Sep,2020 ,Bemidji,18,Minnesota,13.6,13.4,31.9,3.2,42.8,7.9,13.9,13.4,2.1,10.1,7.1,74593.0,3.0,9.0,0.8285,0.0641,0.0484,47.4828,-94.8796,16807,46.39241,-94.63623,12781,5519,5.125860644450564,0.2570222222222222,160,6,86,0.321,0.535,0.144,10.313,0.0,4.673
Oct,2019 ,Minneapolis,10,Minnesota,13.6,13.4,31.9,3.2,42.8,7.9,13.9,13.4,2.1,10.1,7.1,74593.0,3.0,9.0,0.8285,0.0641,0.0484,44.9635,-93.2678,2977172,46.39241,-94.63623,8968,3741,5.304381098144251,0.18458888888888889,94,4,68,0.335,0.506,0.159,5.748,3.958,1.229
Feb,2020 ,Charleston,28,South Carolina,13.0,13.5,30.2,4.7,36.9,9.1,16.0,13.7,0.9,10.2,5.6,56227.0,1.1,13.8,0.6716,0.2677,0.0407,32.8153,-79.9628,628377,33.836082,-81.163727,7236,2920,5.358665430954588,0.15034444444444445,72,3,57,0.336,0.511,0.153,3.493,5.185,0.002
Mar,2020 ,Charlotte,2,North Carolina,13.4,13.0,30.7,4.6,39.3,9.5,14.2,11.8,1.1,11.2,6.4,57341.0,1.5,13.6,0.6868,0.2144,0.0575,35.208,-80.8304,1512923,35.782169,-80.793457,5132,1962,5.443533123028391,0.10800740740740741,61,1,28,0.314,0.534,0.151,1.697,4.228,0.462
Sep,2020 ,Fayetteville,19,North Carolina,13.4,13.0,30.7,4.6,39.3,9.5,14.2,11.8,1.1,11.2,6.4,57341.0,1.5,13.6,0.6868,0.2144,0.0575,35.0846,-78.9776,327435,35.782169,-80.793457,12119,4865,5.108491866556383,0.24568148148148147,156,8,70,0.328,0.531,0.142,10.439,0.611,3.526
Sep,2019 ,Fayetteville,9,North Carolina,13.4,13.0,30.7,4.6,39.3,9.5,14.2,11.8,1.1,11.2,6.4,57341.0,1.5,13.6,0.6868,0.2144,0.0575,35.0846,-78.9776,327435,35.782169,-80.793457,7162,2956,5.386115073704232,0.14831481481481482,71,16,29,0.341,0.538,0.121,10.439,0.611,3.526
Jul,2019 ,Greenville,17,North Carolina,13.4,13.0,30.7,4.6,39.3,9.5,14.2,11.8,1.1,11.2,6.4,57341.0,1.5,13.6,0.6868,0.2144,0.0575,35.5956,-77.3768,130118,35.782169,-80.793457,8203,3395,5.300748752079867,0.1691148148148148,69,4,34,0.365,0.487,0.148,4.473,4.686,1.315
Sep,2020 ,Winston-Salem,8,North Carolina,13.4,13.0,30.7,4.6,39.3,9.5,14.2,11.8,1.1,11.2,6.4,57341.0,1.5,13.6,0.6868,0.2144,0.0575,36.1029,-80.2611,422269,35.782169,-80.793457,8567,3498,5.270664825409351,0.1761037037037037,129,7,48,0.295,0.549,0.156,2.084,2.116,6.768
